# 03_MODULE_RESOLUTION.txt
# Module existence verification on filesystem
# Format: <module_path>|<status>|<resolved_file_path>

__future__|DEAD|NO_FILE
ast|DEAD|NO_FILE
dataclasses|DEAD|NO_FILE
pathlib|DEAD|NO_FILE
typing|DEAD|NO_FILE
pipeline_audit_script|LIVE|/home/user/FARFAN_MCDPP/pipeline_audit_script.py
logging|DEAD|NO_FILE
canonic_questionnaire_central|LIVE|/home/user/FARFAN_MCDPP/canonic_questionnaire_central/__init__.py
._registry.questions.question_loader|LIVE|/home/user/FARFAN_MCDPP/canonic_questionnaire_central/_registry/questions/question_loader.py
._registry.questions.signal_router|LIVE|/home/user/FARFAN_MCDPP/canonic_questionnaire_central/_registry/questions/signal_router.py
._registry.questions.pattern_inheritance|LIVE|/home/user/FARFAN_MCDPP/canonic_questionnaire_central/_registry/questions/pattern_inheritance.py
json|DEAD|NO_FILE
.resolver|LIVE|/home/user/FARFAN_MCDPP/canonic_questionnaire_central/resolver.py
.core|LIVE|/home/user/FARFAN_MCDPP/canonic_questionnaire_central/core/__init__.py
collections|DEAD|NO_FILE
traceback|DEAD|NO_FILE
canonic_questionnaire_central._registry.questions.pattern_inheritance|LIVE|/home/user/FARFAN_MCDPP/canonic_questionnaire_central/_registry/questions/pattern_inheritance.py
functools|DEAD|NO_FILE
concurrent.futures|DEAD|NO_FILE
time|DEAD|NO_FILE
canonic_questionnaire_central._registry.questions.question_loader|LIVE|/home/user/FARFAN_MCDPP/canonic_questionnaire_central/_registry/questions/question_loader.py
pandas|DEAD|NO_FILE
canonic_questionnaire_central._registry.questions.signal_router|LIVE|/home/user/FARFAN_MCDPP/canonic_questionnaire_central/_registry/questions/signal_router.py
canonic_questionnaire_central._registry.sisas_canonical_map|LIVE|/home/user/FARFAN_MCDPP/canonic_questionnaire_central/_registry/sisas_canonical_map/__init__.py
re|DEAD|NO_FILE
datetime|DEAD|NO_FILE
hashlib|DEAD|NO_FILE
argparse|DEAD|NO_FILE
sys|DEAD|NO_FILE
warnings|DEAD|NO_FILE
fastapi|DEAD|NO_FILE
fastapi.responses|DEAD|NO_FILE
pydantic|DEAD|NO_FILE
canonic_questionnaire_central.validations.runtime_validators|LIVE|/home/user/FARFAN_MCDPP/canonic_questionnaire_central/validations/runtime_validators/__init__.py
uvicorn|DEAD|NO_FILE
canonic_questionnaire_central.audits|LIVE|/home/user/FARFAN_MCDPP/canonic_questionnaire_central/audits/__init__.py
canonic_questionnaire_central.core|LIVE|/home/user/FARFAN_MCDPP/canonic_questionnaire_central/core/__init__.py
.bus_audit|DEAD|NO_FILE
.integration|DEAD|NO_FILE
abc|DEAD|NO_FILE
enum|DEAD|NO_FILE
uuid|DEAD|NO_FILE
.signal|DEAD|NO_FILE
.signal_distribution_orchestrator|DEAD|NO_FILE
canonic_questionnaire_central.audits.integration|LIVE|/home/user/FARFAN_MCDPP/canonic_questionnaire_central/audits/integration.py
canonic_questionnaire_central.colombia_context|LIVE|/home/user/FARFAN_MCDPP/canonic_questionnaire_central/colombia_context/__init__.py
canonic_questionnaire_central.cross_cutting|LIVE|/home/user/FARFAN_MCDPP/canonic_questionnaire_central/cross_cutting/__init__.py
canonic_questionnaire_central.dimensions|DEAD|NO_FILE
subprocess|DEAD|NO_FILE
structlog|DEAD|NO_FILE
.core.signal_distribution_orchestrator|LIVE|/home/user/FARFAN_MCDPP/canonic_questionnaire_central/core/signal_distribution_orchestrator.py
.core.signal|LIVE|/home/user/FARFAN_MCDPP/canonic_questionnaire_central/core/signal.py
farfan_pipeline.orchestration.factory|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/orchestration/factory.py
canonic_questionnaire_central.scoring|LIVE|/home/user/FARFAN_MCDPP/canonic_questionnaire_central/scoring/__init__.py
canonic_questionnaire_central.scoring.validators|LIVE|/home/user/FARFAN_MCDPP/canonic_questionnaire_central/scoring/validators/__init__.py
.modules|DEAD|NO_FILE
.validators|DEAD|NO_FILE
canonic_questionnaire_central.scoring.modules|LIVE|/home/user/FARFAN_MCDPP/canonic_questionnaire_central/scoring/modules/__init__.py
.quality_levels|DEAD|NO_FILE
.scoring_modalities|DEAD|NO_FILE
.pdet_scoring_enrichment|DEAD|NO_FILE
.phase4_territorial_integration|DEAD|NO_FILE
math|DEAD|NO_FILE
.scoring_validators|DEAD|NO_FILE
..modules.quality_levels|DEAD|NO_FILE
..modules.scoring_modalities|DEAD|NO_FILE
csv|DEAD|NO_FILE
yaml|DEAD|NO_FILE
canonic_questionnaire_central.validations.runtime_validators.scope_validator|LIVE|/home/user/FARFAN_MCDPP/canonic_questionnaire_central/validations/runtime_validators/scope_validator.py
canonic_questionnaire_central.validations.runtime_validators.value_add_validator|LIVE|/home/user/FARFAN_MCDPP/canonic_questionnaire_central/validations/runtime_validators/value_add_validator.py
canonic_questionnaire_central.validations.runtime_validators.capability_validator|LIVE|/home/user/FARFAN_MCDPP/canonic_questionnaire_central/validations/runtime_validators/capability_validator.py
canonic_questionnaire_central.validations.runtime_validators.channel_validator|LIVE|/home/user/FARFAN_MCDPP/canonic_questionnaire_central/validations/runtime_validators/channel_validator.py
statistics|DEAD|NO_FILE
farfan_pipeline.phases.phase_4_7_aggregation_pipeline.choquet_aggregator|DEAD|NO_FILE
os|DEAD|NO_FILE
.dependency_graph|DEAD|NO_FILE
farfan_pipeline.orchestration|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/orchestration/__init__.py
farfan_pipeline.phases.Phase_00.interphase.wiring_types|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_00/interphase/wiring_types.py
farfan_pipeline.infrastructure.extractors|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/extractors/__init__.py
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/irrigation_using_signals/SISAS/__init__.py
importlib.util|DEAD|NO_FILE
ast_analyzers|LIVE|/home/user/FARFAN_MCDPP/ast_analyzers.py
..base_consumer|DEAD|NO_FILE
...core.signal|LIVE|/home/user/FARFAN_MCDPP/canonic_questionnaire_central/core/signal.py
inspect|DEAD|NO_FILE
farfan_pipeline.phases.Phase_01.interphase.phase0_to_phase1_bridge|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_01/interphase/phase0_to_phase1_bridge.py
farfan_pipeline.phases.Phase_02.interphase.phase1_phase2_adapter|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_02/interphase/phase1_phase2_adapter.py
farfan_pipeline.phases.Phase_02.interphase.phase2_phase3_adapter|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_02/interphase/phase2_phase3_adapter.py
farfan_pipeline.phases.Phase_05.interphase.phase5_10_00_entry_contract|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_05/interphase/phase5_10_00_entry_contract.py
farfan_pipeline.phases.Phase_05.interphase.phase5_10_00_exit_contract|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_05/interphase/phase5_10_00_exit_contract.py
farfan_pipeline.phases.Phase_07.interphase.phase6_to_phase7_bridge|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_07/interphase/phase6_to_phase7_bridge.py
farfan_pipeline.phases.Phase_08.interphase.interface_validator|DEAD|NO_FILE
importlib|DEAD|NO_FILE
canonic_questionnaire_central.validations.pdet_validator|LIVE|/home/user/FARFAN_MCDPP/canonic_questionnaire_central/validations/pdet_validator.py
canonic_questionnaire_central.scoring.modules.pdet_scoring_enrichment|DEAD|NO_FILE
shutil|DEAD|NO_FILE
