# 05_IMPORTS_STRATIFIED.txt
# Temporal and architectural classification
# Format: <module>|<era>|<module_reality>|<symbol_reality>

__future__|ERA_UNKNOWN|DEAD|N/A
ast|ERA_UNKNOWN|DEAD|N/A
dataclasses|ERA_UNKNOWN|DEAD|N/A
pathlib|ERA_UNKNOWN|DEAD|N/A
typing|ERA_UNKNOWN|DEAD|N/A
pipeline_audit_script|ERA_UNKNOWN|LIVE|N/A
logging|ERA_UNKNOWN|DEAD|N/A
canonic_questionnaire_central|ERA_UNKNOWN|LIVE|N/A
._registry.questions.question_loader|ERA_UNKNOWN|LIVE|N/A
._registry.questions.signal_router|ERA_UNKNOWN|LIVE|N/A
._registry.questions.pattern_inheritance|ERA_UNKNOWN|LIVE|N/A
json|ERA_UNKNOWN|DEAD|N/A
.resolver|ERA_UNKNOWN|LIVE|N/A
.core|ERA_UNKNOWN|LIVE|N/A
collections|ERA_UNKNOWN|DEAD|N/A
traceback|ERA_UNKNOWN|DEAD|N/A
canonic_questionnaire_central._registry.questions.pattern_inheritance|ERA_UNKNOWN|LIVE|N/A
functools|ERA_UNKNOWN|DEAD|N/A
concurrent.futures|ERA_UNKNOWN|DEAD|N/A
time|ERA_UNKNOWN|DEAD|N/A
canonic_questionnaire_central._registry.questions.question_loader|ERA_UNKNOWN|LIVE|N/A
pandas|ERA_UNKNOWN|DEAD|N/A
canonic_questionnaire_central._registry.questions.signal_router|ERA_UNKNOWN|LIVE|N/A
canonic_questionnaire_central._registry.sisas_canonical_map|ERA_UNKNOWN|LIVE|N/A
re|ERA_UNKNOWN|DEAD|N/A
datetime|ERA_UNKNOWN|DEAD|N/A
hashlib|ERA_UNKNOWN|DEAD|N/A
argparse|ERA_UNKNOWN|DEAD|N/A
sys|ERA_UNKNOWN|DEAD|N/A
warnings|ERA_UNKNOWN|DEAD|N/A
fastapi|ERA_UNKNOWN|DEAD|N/A
fastapi.responses|ERA_UNKNOWN|DEAD|N/A
pydantic|ERA_UNKNOWN|DEAD|N/A
canonic_questionnaire_central.validations.runtime_validators|ERA_UNKNOWN|LIVE|N/A
uvicorn|ERA_UNKNOWN|DEAD|N/A
canonic_questionnaire_central.audits|ERA_UNKNOWN|LIVE|N/A
canonic_questionnaire_central.core|ERA_UNKNOWN|LIVE|N/A
.bus_audit|ERA_UNKNOWN|DEAD|N/A
