# 06_DECISION_MATRIX.txt
# Mechanical remediation actions per import
# Format: <module>|<era>|<module_reality>|<symbol_reality>|<action>|<status>

__future__|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
ast|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
dataclasses|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
pathlib|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
typing|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
pipeline_audit_script|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
logging|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
canonic_questionnaire_central|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
._registry.questions.question_loader|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
._registry.questions.signal_router|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
._registry.questions.pattern_inheritance|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
json|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.resolver|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
.core|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
collections|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
traceback|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
canonic_questionnaire_central._registry.questions.pattern_inheritance|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
functools|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
concurrent.futures|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
time|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
canonic_questionnaire_central._registry.questions.question_loader|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
pandas|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
canonic_questionnaire_central._registry.questions.signal_router|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
canonic_questionnaire_central._registry.sisas_canonical_map|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
re|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
datetime|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
hashlib|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
argparse|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sys|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
warnings|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fastapi|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fastapi.responses|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
pydantic|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
canonic_questionnaire_central.validations.runtime_validators|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
uvicorn|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
