# 07_DEPENDENCY_GRAVITY.txt
# Import frequency and centrality metrics
# Format: <module>|<import_count>|<source_file_count>|<centrality>

typing|5819|5444|1.07
numpy|4413|3986|1.11
torch|3272|2308|1.42
pytest|2925|2784|1.05
__future__|2844|2835|1.00
collections.abc|2486|2376|1.05
sys|2394|2277|1.05
os|1767|1701|1.04
...utils|1732|1730|1.00
pandas|1685|1219|1.38
warnings|1611|1557|1.03
functools|1596|1536|1.04
.|1527|947|1.61
re|1393|1357|1.03
logging|1275|1220|1.05
dataclasses|1253|1214|1.03
collections|1241|1193|1.04
itertools|1181|1132|1.04
math|1112|1087|1.02
pathlib|1101|1058|1.04
datetime|882|825|1.07
contextlib|818|782|1.05
pandas._testing|803|803|1.00
io|707|670|1.06
json|706|676|1.04
operator|654|643|1.02
...processing_utils|621|621|1.00
inspect|617|571|1.08
sympy.core.symbol|616|547|1.13
numba|592|441|1.34
types|579|553|1.05
networkx|578|531|1.09
numpy.testing|556|547|1.02
sympy.core.numbers|554|501|1.11
copy|551|540|1.02
typing_extensions|535|491|1.09
...utils.import_utils|504|504|1.00
...modeling_utils|504|504|1.00
torch.nn|503|442|1.14
...modeling_outputs|498|498|1.00
time|491|466|1.05
enum|486|480|1.01
...configuration_utils|467|467|1.00
sympy.testing.pytest|444|426|1.04
numba.core|432|373|1.16
...|431|427|1.01
matplotlib|409|239|1.71
sympy.core.singleton|409|394|1.04
...activations|397|397|1.00
.utils|390|287|1.36
unittest|379|364|1.04
threading|371|362|1.02
sympy.core.function|363|307|1.18
sympy|360|279|1.29
abc|355|351|1.01
scipy|346|300|1.15
...modeling_layers|346|346|1.00
sympy.functions.elementary.miscellaneous|333|311|1.07
sympy.functions.elementary.trigonometric|328|273|1.20
...cache_utils|320|320|1.00
...utils.generic|315|315|1.00
sympy.core|308|294|1.05
sympy.functions.elementary.exponential|307|259|1.19
textwrap|303|300|1.01
subprocess|300|284|1.06
tempfile|297|289|1.03
...image_utils|284|280|1.01
pygments.token|282|280|1.01
..|279|261|1.07
numbers|274|264|1.04
shutil|273|264|1.03
sympy.abc|262|190|1.38
pickle|260|236|1.10
..utils|257|243|1.06
matplotlib.pyplot|255|174|1.47
...modeling_rope_utils|254|254|1.00
random|253|246|1.03
...generation|251|251|1.00
sympy.core.relational|248|207|1.20
importlib|244|240|1.02
torch.nn.functional|244|242|1.01
pandas.errors|239|238|1.00
scipy.sparse|234|214|1.09
sympy.functions.elementary.complexes|234|179|1.31
numba.tests.support|233|224|1.04
